,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
16,2023-01-30,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-30 19:00:00,2023-01-30 22:00:00
16,2023-01-30,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-30 22:00:00,2023-01-31 04:00:00
17,2023-01-31,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-31 04:00:00,2023-01-31 09:00:00
17,2023-01-31,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-31 09:00:00,2023-01-31 15:00:00
17,2023-01-31,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-31 15:00:00,2023-01-31 19:00:00
17,2023-01-31,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-31 19:00:00,2023-01-31 22:00:00
17,2023-01-31,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-31 22:00:00,2023-02-01 04:00:00
18,2023-02-01,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-01 04:00:00,2023-02-01 09:00:00
18,2023-02-01,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-01 09:00:00,2023-02-01 15:00:00
18,2023-02-01,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-01 15:00:00,2023-02-01 19:00:00
18,2023-02-01,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-01 19:00:00,2023-02-01 22:00:00
18,2023-02-01,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-01 22:00:00,2023-02-02 04:00:00
19,2023-02-02,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-02 04:00:00,2023-02-02 09:00:00
