date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
datetime64[us],int64,str,int64,int64,float64,int64,int64,float64,int64,datetime64[us],datetime64[us],str,int64,float64,int64
2025-02-27 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-27 15:00:00,2025-02-27 19:00:00,E,78,10714.7,181
2025-02-27 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-27 15:00:00,2025-02-27 19:00:00,W,19,3308.366666666667,63
2025-02-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-28 15:00:00,2025-02-28 19:00:00,E,64,4144.933333333333,188
2025-02-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-28 15:00:00,2025-02-28 19:00:00,W,39,1575.5166666666667,68
2025-03-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-03 15:00:00,2025-03-03 19:00:00,E,88,1432.2333333333333,85
2025-03-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-03 15:00:00,2025-03-03 19:00:00,W,19,394.6666666666667,32
2025-03-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-04 15:00:00,2025-03-04 19:00:00,E,61,2951.633333333333,164
2025-03-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-04 15:00:00,2025-03-04 19:00:00,W,14,530.1333333333333,26
2025-03-05 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-05 15:00:00,2025-03-05 19:00:00,E,67,5347.166666666667,109
2025-03-05 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-05 15:00:00,2025-03-05 19:00:00,W,5,1288.9,25
2025-03-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-06 15:00:00,2025-03-06 19:00:00,E,83,1796.3666666666666,132
2025-03-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-06 15:00:00,2025-03-06 19:00:00,W,17,531.5166666666667,27
2025-03-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-07 15:00:00,2025-03-07 19:00:00,E,150,5429.466666666666,124
2025-03-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-07 15:00:00,2025-03-07 19:00:00,W,35,1431.5166666666667,55
2025-03-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-10 15:00:00,2025-03-10 19:00:00,E,48,497.56666666666666,33
2025-03-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-10 15:00:00,2025-03-10 19:00:00,W,18,387.1333333333333,24
2025-03-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-11 15:00:00,2025-03-11 19:00:00,E,55,602.5833333333334,74
2025-03-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-11 15:00:00,2025-03-11 19:00:00,W,23,461.71666666666664,22
2025-03-12 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-12 15:00:00,2025-03-12 19:00:00,E,45,1542.05,101
2025-03-12 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-12 15:00:00,2025-03-12 19:00:00,W,17,479.1,23
2025-03-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-13 15:00:00,2025-03-13 19:00:00,E,5,196.06666666666666,2
2025-03-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-13 15:00:00,2025-03-13 19:00:00,W,4,75.75,13
2025-03-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-14 15:00:00,2025-03-14 19:00:00,E,14,1765.3,63
2025-03-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-14 15:00:00,2025-03-14 19:00:00,W,8,238.46666666666667,18
2025-03-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-17 15:00:00,2025-03-17 19:00:00,E,19,79.96666666666667,78
2025-03-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-17 15:00:00,2025-03-17 19:00:00,W,11,115.31666666666666,35
2025-03-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-18 15:00:00,2025-03-18 19:00:00,E,9,865.35,70
2025-03-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-18 15:00:00,2025-03-18 19:00:00,W,22,694.1166666666667,20
2025-03-19 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-19 15:00:00,2025-03-19 19:00:00,E,60,2765.0,119
2025-03-19 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-19 15:00:00,2025-03-19 19:00:00,W,23,1394.5166666666667,49
2025-03-20 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-20 15:00:00,2025-03-20 19:00:00,E,27,1155.95,150
2025-03-20 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-20 15:00:00,2025-03-20 19:00:00,W,6,813.2166666666667,34
2025-03-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-21 15:00:00,2025-03-21 19:00:00,E,85,1393.25,56
2025-03-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-21 15:00:00,2025-03-21 19:00:00,W,18,645.9,22
2025-03-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-24 15:00:00,2025-03-24 19:00:00,E,14,77.46666666666667,23
2025-03-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-24 15:00:00,2025-03-24 19:00:00,W,18,172.56666666666666,23
2025-03-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-25 15:00:00,2025-03-25 19:00:00,E,24,1179.8333333333333,75
2025-03-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-25 15:00:00,2025-03-25 19:00:00,W,36,486.46666666666664,23
2025-03-26 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-26 15:00:00,2025-03-26 19:00:00,E,109,3922.9666666666667,112
2025-03-26 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-26 15:00:00,2025-03-26 19:00:00,W,10,829.7,20
2025-03-27 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-27 15:00:00,2025-03-27 19:00:00,E,79,2835.866666666667,108
2025-03-27 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-27 15:00:00,2025-03-27 19:00:00,W,6,578.2666666666667,41
2025-03-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-28 15:00:00,2025-03-28 19:00:00,E,58,5022.016666666666,135
2025-03-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-28 15:00:00,2025-03-28 19:00:00,W,8,1652.0166666666667,21
2025-03-31 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-31 15:00:00,2025-03-31 19:00:00,E,16,1036.7166666666667,54
2025-03-31 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-03-31 15:00:00,2025-03-31 19:00:00,W,13,198.73333333333332,23
2025-04-01 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-01 15:00:00,2025-04-01 19:00:00,E,134,2741.35,132
2025-04-01 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-01 15:00:00,2025-04-01 19:00:00,W,29,964.9166666666666,46
2025-04-02 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-02 15:00:00,2025-04-02 19:00:00,E,151,8331.683333333332,154
2025-04-02 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-02 15:00:00,2025-04-02 19:00:00,W,30,3387.7833333333333,26
2025-04-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-03 15:00:00,2025-04-03 19:00:00,E,58,1903.7666666666667,149
2025-04-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-03 15:00:00,2025-04-03 19:00:00,W,11,1235.2666666666667,35
2025-04-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-04 15:00:00,2025-04-04 19:00:00,E,25,4626.8,110
2025-04-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-04 15:00:00,2025-04-04 19:00:00,W,27,1408.7333333333333,42
2025-04-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-07 15:00:00,2025-04-07 19:00:00,E,63,1753.4166666666667,71
2025-04-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-07 15:00:00,2025-04-07 19:00:00,W,16,436.85,32
2025-04-08 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-08 15:00:00,2025-04-08 19:00:00,E,23,352.3,21
