date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Dundas St West,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Yonge St - College Station,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Alton Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Augusta Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Main St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Dovercourt Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Greenwood Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,River St,3,5,3,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Church St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Prust Ave,2,4,7,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Spadina Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Dundas St West at Sorauren Ave,0,0,0,0
