date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,total delay
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,object,int64,int64,float64
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Borden St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Dundas St West at Sorauren Ave,3,3,-69.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Crawford St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Pape Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Spadina Ave,1,4,-41.71666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,River St,2,4,-54.483333333333334
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Marjory Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Kingsmount Park Rd,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Church St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Ossington Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Woodbine Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Jones Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Golfview Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Leslie St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,St Matthews Rd,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Jarvis St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Sherbourne St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,St George St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Dovercourt Rd,0,0,0.0
